indicator_id,indicator_name,region,zone,woreda,fiscal_year,count_value,eligible_pop,share,source
9,Proportion of surviving infants vaccinated for PCV-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2015,235877,253901,0.35,woreda_split
9,Proportion of surviving infants vaccinated for PCV-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2016,124059,260249,0.35,woreda_split
9,Proportion of surviving infants vaccinated for PCV-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2017,260249,260249,0.35,woreda_split
10,Proportion of infants fully immunized,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2011,143468,230022,0.35,woreda_split
10,Proportion of infants fully immunized,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2012,152711,235772,0.35,woreda_split
10,Proportion of infants fully immunized,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2013,167996,241667,0.35,woreda_split
10,Proportion of infants fully immunized,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2014,194084,247708,0.35,woreda_split
10,Proportion of infants fully immunized,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2015,215054,253901,0.35,woreda_split
10,Proportion of infants fully immunized,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2016,113800,260249,0.35,woreda_split
10,Proportion of infants fully immunized,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2017,244634,260249,0.35,woreda_split
11,Proportion of surviving infants who received two doses of Rotavirus vaccine,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2011,156154,230022,0.35,woreda_split
11,Proportion of surviving infants who received two doses of Rotavirus vaccine,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2012,181244,235772,0.35,woreda_split
11,Proportion of surviving infants who received two doses of Rotavirus vaccine,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2013,172636,241667,0.35,woreda_split
11,Proportion of surviving infants who received two doses of Rotavirus vaccine,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2014,207691,247708,0.35,woreda_split
11,Proportion of surviving infants who received two doses of Rotavirus vaccine,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2015,230830,253901,0.35,woreda_split
11,Proportion of surviving infants who received two doses of Rotavirus vaccine,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2016,122032,260249,0.35,woreda_split
11,Proportion of surviving infants who received two doses of Rotavirus vaccine,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2017,260249,260249,0.35,woreda_split
12,Proportion of infants protected at birth against neonatal tetanus (PAB),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2011,171216,248941,0.35,woreda_split
12,Proportion of infants protected at birth against neonatal tetanus (PAB),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2012,189708,255165,0.35,woreda_split
12,Proportion of infants protected at birth against neonatal tetanus (PAB),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2013,189158,261544,0.35,woreda_split
12,Proportion of infants protected at birth against neonatal tetanus (PAB),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2014,226749,268083,0.35,woreda_split
12,Proportion of infants protected at birth against neonatal tetanus (PAB),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2015,247029,274785,0.35,woreda_split
12,Proportion of infants protected at birth against neonatal tetanus (PAB),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2016,124332,281654,0.35,woreda_split
12,Proportion of infants protected at birth against neonatal tetanus (PAB),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2017,281654,281654,0.35,woreda_split
14,Proportion of girls (14yo) who received HPV1,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2011,0,89752,0.35,woreda_split
14,Proportion of girls (14yo) who received HPV1,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2012,0,91996,0.35,woreda_split
14,Proportion of girls (14yo) who received HPV1,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2013,0,94296,0.35,woreda_split
14,Proportion of girls (14yo) who received HPV1,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2014,14,96653,0.35,woreda_split
14,Proportion of girls (14yo) who received HPV1,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2015,44,99069,0.35,woreda_split
14,Proportion of girls (14yo) who received HPV1,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2016,49,101546,0.35,woreda_split
14,Proportion of girls (14yo) who received HPV1,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2017,6093,101546,0.35,woreda_split
15,Proportion of neonatal death in the institution,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2011,2628,169280,0.35,woreda_split
15,Proportion of neonatal death in the institution,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2012,2416,173512,0.35,woreda_split
15,Proportion of neonatal death in the institution,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2013,2376,177850,0.35,woreda_split
15,Proportion of neonatal death in the institution,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2014,1955,182296,0.35,woreda_split
15,Proportion of neonatal death in the institution,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2015,1704,186854,0.35,woreda_split
15,Proportion of neonatal death in the institution,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2016,603,191525,0.35,woreda_split
15,Proportion of neonatal death in the institution,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2017,1149,191525,0.35,woreda_split
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2011,103120,142252,0.2,woreda_split
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2012,108729,145809,0.2,woreda_split
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2013,103813,149454,0.2,woreda_split
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2014,136943,153190,0.2,woreda_split
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2015,145286,157020,0.2,woreda_split
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2016,74654,160945,0.2,woreda_split
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2017,160945,160945,0.2,woreda_split
2,Proportion of surviving infants who received OPV3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2011,93420,131441,0.2,woreda_split
2,Proportion of surviving infants who received OPV3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2012,101767,134727,0.2,woreda_split
2,Proportion of surviving infants who received OPV3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2013,96991,138095,0.2,woreda_split
2,Proportion of surviving infants who received OPV3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2014,126414,141548,0.2,woreda_split
2,Proportion of surviving infants who received OPV3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2015,132563,145086,0.2,woreda_split
2,Proportion of surviving infants who received OPV3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2016,69311,148714,0.2,woreda_split
2,Proportion of surviving infants who received OPV3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2017,145739,148714,0.2,woreda_split
3,Proportion of surviving infants who received IPV,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2011,92661,131441,0.2,woreda_split
3,Proportion of surviving infants who received IPV,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2012,98122,134727,0.2,woreda_split
3,Proportion of surviving infants who received IPV,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2013,99255,138095,0.2,woreda_split
3,Proportion of surviving infants who received IPV,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2014,118820,141548,0.2,woreda_split
3,Proportion of surviving infants who received IPV,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2015,135088,145086,0.2,woreda_split
3,Proportion of surviving infants who received IPV,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2016,69811,148714,0.2,woreda_split
3,Proportion of surviving infants who received IPV,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2017,148714,148714,0.2,woreda_split
4,Proportion of surviving infants vaccinated for Penta-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2011,102856,131441,0.2,woreda_split
4,Proportion of surviving infants vaccinated for Penta-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2012,109395,134727,0.2,woreda_split
4,Proportion of surviving infants vaccinated for Penta-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2013,110970,138095,0.2,woreda_split
4,Proportion of surviving infants vaccinated for Penta-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2014,129196,141548,0.2,woreda_split
4,Proportion of surviving infants vaccinated for Penta-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2015,138180,145086,0.2,woreda_split
4,Proportion of surviving infants vaccinated for Penta-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2016,71076,148714,0.2,woreda_split
4,Proportion of surviving infants vaccinated for Penta-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2017,148714,148714,0.2,woreda_split
6,Proportion of surviving infants vaccinated for measles (MCV1),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2011,77477,131441,0.2,woreda_split
6,Proportion of surviving infants vaccinated for measles (MCV1),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2012,83729,134727,0.2,woreda_split
6,Proportion of surviving infants vaccinated for measles (MCV1),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2013,88974,138095,0.2,woreda_split
6,Proportion of surviving infants vaccinated for measles (MCV1),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2014,106983,141548,0.2,woreda_split
6,Proportion of surviving infants vaccinated for measles (MCV1),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2015,118816,145086,0.2,woreda_split
6,Proportion of surviving infants vaccinated for measles (MCV1),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2016,66497,148714,0.2,woreda_split
6,Proportion of surviving infants vaccinated for measles (MCV1),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2017,142765,148714,0.2,woreda_split
7,Proportion of surviving infants who received MCV2,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2011,75327,131441,0.2,woreda_split
7,Proportion of surviving infants who received MCV2,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2012,82745,134727,0.2,woreda_split
7,Proportion of surviving infants who received MCV2,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2013,83210,138095,0.2,woreda_split
7,Proportion of surviving infants who received MCV2,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2014,101540,141548,0.2,woreda_split
7,Proportion of surviving infants who received MCV2,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2015,113655,145086,0.2,woreda_split
7,Proportion of surviving infants who received MCV2,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2016,61348,148714,0.2,woreda_split
7,Proportion of surviving infants who received MCV2,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2017,133842,148714,0.2,woreda_split
9,Proportion of surviving infants vaccinated for PCV-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2011,103308,131441,0.2,woreda_split
9,Proportion of surviving infants vaccinated for PCV-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2012,109993,134727,0.2,woreda_split
9,Proportion of surviving infants vaccinated for PCV-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2013,101699,138095,0.2,woreda_split
9,Proportion of surviving infants vaccinated for PCV-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2014,124323,141548,0.2,woreda_split
9,Proportion of surviving infants vaccinated for PCV-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2015,134787,145086,0.2,woreda_split
9,Proportion of surviving infants vaccinated for PCV-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2016,70891,148714,0.2,woreda_split
9,Proportion of surviving infants vaccinated for PCV-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2017,148714,148714,0.2,woreda_split
10,Proportion of infants fully immunized,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2011,81982,131441,0.2,woreda_split
10,Proportion of infants fully immunized,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2012,87263,134727,0.2,woreda_split
10,Proportion of infants fully immunized,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2013,95998,138095,0.2,woreda_split
10,Proportion of infants fully immunized,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2014,110905,141548,0.2,woreda_split
10,Proportion of infants fully immunized,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2015,122888,145086,0.2,woreda_split
10,Proportion of infants fully immunized,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2016,65029,148714,0.2,woreda_split
10,Proportion of infants fully immunized,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2017,139791,148714,0.2,woreda_split
11,Proportion of surviving infants who received two doses of Rotavirus vaccine,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2011,89231,131441,0.2,woreda_split
11,Proportion of surviving infants who received two doses of Rotavirus vaccine,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2012,103568,134727,0.2,woreda_split
11,Proportion of surviving infants who received two doses of Rotavirus vaccine,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2013,98649,138095,0.2,woreda_split
11,Proportion of surviving infants who received two doses of Rotavirus vaccine,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2014,118681,141548,0.2,woreda_split
11,Proportion of surviving infants who received two doses of Rotavirus vaccine,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2015,131903,145086,0.2,woreda_split
11,Proportion of surviving infants who received two doses of Rotavirus vaccine,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2016,69733,148714,0.2,woreda_split
11,Proportion of surviving infants who received two doses of Rotavirus vaccine,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2017,148714,148714,0.2,woreda_split
12,Proportion of infants protected at birth against neonatal tetanus (PAB),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2011,97838,142252,0.2,woreda_split
12,Proportion of infants protected at birth against neonatal tetanus (PAB),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2012,108404,145809,0.2,woreda_split
12,Proportion of infants protected at birth against neonatal tetanus (PAB),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2013,108090,149454,0.2,woreda_split
12,Proportion of infants protected at birth against neonatal tetanus (PAB),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2014,129571,153190,0.2,woreda_split
12,Proportion of infants protected at birth against neonatal tetanus (PAB),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2015,141159,157020,0.2,woreda_split
12,Proportion of infants protected at birth against neonatal tetanus (PAB),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2016,71047,160945,0.2,woreda_split
12,Proportion of infants protected at birth against neonatal tetanus (PAB),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 2 (synthetic demo),EFY2017,160945,160945,0.2,woreda_split
